Date,EUR/PLN,USD/PLN,CHF/PLN,EUR/USD,CHF/USD
2023-10-14,,,,,
2023-10-15,,,,,
2023-10-16,4.4804,4.2505,4.7085,1.0541,1.1078
2023-10-17,4.4389,4.2131,4.6676,1.0536,1.1079
2023-10-18,4.4488,4.2035,4.6753,1.0584,1.1122
2023-10-19,4.4529,4.2264,4.6989,1.0536,1.1118
2023-10-20,4.4675,4.2194,4.7328,1.0588,1.1217
2023-10-21,,,,,
2023-10-22,,,,,
2023-10-23,4.4552,4.2022,4.7083,1.0602,1.1204
2023-10-24,4.4604,4.1884,4.6974,1.0649,1.1215
2023-10-25,4.4758,4.2284,4.7236,1.0585,1.1171
2023-10-26,4.4708,4.2395,4.7123,1.0546,1.1115
2023-10-27,4.4642,4.2267,4.6935,1.0562,1.1104
2023-10-28,,,,,
2023-10-29,,,,,
2023-10-30,4.4491,4.204,4.6546,1.0583,1.1072
2023-10-31,4.4475,4.1684,4.6227,1.067,1.109
2023-11-01,,,,,
2023-11-02,4.4582,4.1963,4.6466,1.0624,1.1073
2023-11-03,4.4569,4.1857,4.6293,1.0648,1.106
2023-11-04,,,,,
2023-11-05,,,,,
2023-11-06,4.4615,4.1512,4.6322,1.0747,1.1159
2023-11-07,4.4513,4.1667,4.6283,1.0683,1.1108
2023-11-08,4.4584,4.1804,4.6343,1.0665,1.1086
2023-11-09,4.4413,4.1513,4.61,1.0699,1.1105
2023-11-10,4.4227,4.1423,4.5905,1.0677,1.1082
2023-11-11,,,,,
2023-11-12,,,,,
2023-11-13,4.4336,4.1474,4.5975,1.069,1.1085
2023-11-14,4.4163,4.121,4.572,1.0717,1.1094
2023-11-15,4.39,4.0453,4.5495,1.0852,1.1246
2023-11-16,4.3854,4.0415,4.5452,1.0851,1.1246
2023-11-17,4.3767,4.0327,4.5427,1.0853,1.1265
2023-11-18,,,,,
2023-11-19,,,,,
2023-11-20,4.368,3.9938,4.5248,1.0937,1.133
2023-11-21,4.3647,3.9882,4.5106,1.0944,1.131
2023-11-22,4.3804,4.018,4.5433,1.0902,1.1307
2023-11-23,4.3658,3.9969,4.5274,1.0923,1.1327
2023-11-24,4.3722,4.0103,4.5348,1.0902,1.1308
2023-11-25,,,,,
2023-11-26,,,,,
2023-11-27,4.3543,3.9769,4.512,1.0949,1.1346
2023-11-28,4.3542,3.975,4.5175,1.0954,1.1365
2023-11-29,4.3327,3.9478,4.5031,1.0975,1.1407
2023-11-30,4.3492,3.981,4.551,1.0925,1.1432
2023-12-01,4.3494,3.991,4.567,1.0898,1.1443
2023-12-02,,,,,
2023-12-03,,,,,
2023-12-04,4.3337,3.985,4.5678,1.0875,1.1462
2023-12-05,4.3233,3.991,4.5689,1.0833,1.1448
2023-12-06,4.3382,4.0202,4.5982,1.0791,1.1438
2023-12-07,4.3334,4.0199,4.6027,1.078,1.145
2023-12-08,4.3303,4.0181,4.5913,1.0777,1.1427
2023-12-09,,,,,
2023-12-10,,,,,
2023-12-11,4.3366,4.0277,4.5824,1.0767,1.1377
2023-12-12,4.3396,4.0204,4.581,1.0794,1.1394
2023-12-13,4.3309,4.0149,4.5827,1.0787,1.1414
2023-12-14,4.3053,3.9484,4.5328,1.0904,1.148
2023-12-15,4.3103,3.9326,4.5374,1.096,1.1538
2023-12-16,,,,,
2023-12-17,,,,,
2023-12-18,4.3269,3.9625,4.5611,1.092,1.1511
2023-12-19,4.3321,3.9591,4.5709,1.0942,1.1545
2023-12-20,4.3341,3.9527,4.5885,1.0965,1.1609
2023-12-21,4.3387,3.9645,4.5988,1.0944,1.16
2023-12-22,4.3288,3.9338,4.597,1.1004,1.1686
2023-12-23,,,,,
2023-12-24,,,,,
2023-12-25,,,,,
2023-12-26,,,,,
2023-12-27,4.3311,3.9178,4.599,1.1055,1.1739
2023-12-28,4.3392,3.899,4.6671,1.1129,1.197
2023-12-29,4.348,3.935,4.6828,1.105,1.19
2023-12-30,,,,,
2023-12-31,,,,,
2024-01-01,,,,,
2024-01-02,4.3434,3.9432,4.6596,1.1015,1.1817
2024-01-03,4.3646,3.9909,4.6873,1.0936,1.1745
2024-01-04,4.3525,3.9684,4.6718,1.0968,1.1773
2024-01-05,4.3484,3.985,4.6714,1.0912,1.1722
2024-01-06,,,,,
2024-01-07,,,,,
2024-01-08,4.3548,3.9812,4.6793,1.0938,1.1753
2024-01-09,4.3351,3.9612,4.6616,1.0944,1.1768
2024-01-10,4.3413,3.9656,4.6538,1.0947,1.1735
2024-01-11,4.3505,3.968,4.6637,1.0964,1.1753
