,EUR/PLN,USD/PLN
2023-10-14,,
2023-10-15,,
2023-10-16,4.4804,4.2505
2023-10-17,4.4389,4.2131
2023-10-18,4.4488,4.2035
2023-10-19,4.4529,4.2264
2023-10-20,4.4675,4.2194
2023-10-21,,
2023-10-22,,
2023-10-23,4.4552,4.2022
2023-10-24,4.4604,4.1884
2023-10-25,4.4758,4.2284
2023-10-26,4.4708,4.2395
2023-10-27,4.4642,4.2267
2023-10-28,,
2023-10-29,,
2023-10-30,4.4491,4.204
2023-10-31,4.4475,4.1684
2023-11-01,,
2023-11-02,4.4582,4.1963
2023-11-03,4.4569,4.1857
2023-11-04,,
2023-11-05,,
2023-11-06,4.4615,4.1512
2023-11-07,4.4513,4.1667
2023-11-08,4.4584,4.1804
2023-11-09,4.4413,4.1513
2023-11-10,4.4227,4.1423
2023-11-11,,
2023-11-12,,
2023-11-13,4.4336,4.1474
2023-11-14,4.4163,4.121
2023-11-15,4.39,4.0453
2023-11-16,4.3854,4.0415
2023-11-17,4.3767,4.0327
2023-11-18,,
2023-11-19,,
2023-11-20,4.368,3.9938
2023-11-21,4.3647,3.9882
2023-11-22,4.3804,4.018
2023-11-23,4.3658,3.9969
2023-11-24,4.3722,4.0103
2023-11-25,,
2023-11-26,,
2023-11-27,4.3543,3.9769
2023-11-28,4.3542,3.975
2023-11-29,4.3327,3.9478
2023-11-30,4.3492,3.981
2023-12-01,4.3494,3.991
2023-12-02,,
2023-12-03,,
2023-12-04,4.3337,3.985
2023-12-05,4.3233,3.991
2023-12-06,4.3382,4.0202
2023-12-07,4.3334,4.0199
2023-12-08,4.3303,4.0181
2023-12-09,,
2023-12-10,,
2023-12-11,4.3366,4.0277
2023-12-12,4.3396,4.0204
2023-12-13,4.3309,4.0149
2023-12-14,4.3053,3.9484
2023-12-15,4.3103,3.9326
2023-12-16,,
2023-12-17,,
2023-12-18,4.3269,3.9625
2023-12-19,4.3321,3.9591
2023-12-20,4.3341,3.9527
2023-12-21,4.3387,3.9645
2023-12-22,4.3288,3.9338
2023-12-23,,
2023-12-24,,
2023-12-25,,
2023-12-26,,
2023-12-27,4.3311,3.9178
2023-12-28,4.3392,3.899
2023-12-29,4.348,3.935
2023-12-30,,
2023-12-31,,
2024-01-01,,
2024-01-02,4.3434,3.9432
2024-01-03,4.3646,3.9909
2024-01-04,4.3525,3.9684
2024-01-05,4.3484,3.985
2024-01-06,,
2024-01-07,,
2024-01-08,4.3548,3.9812
2024-01-09,4.3351,3.9612
2024-01-10,4.3413,3.9656
2024-01-11,4.3505,3.968
